sf,distance_m,seq,temp_c,rssi_dbm,snr_db,pdr_pct,bat_pct
7,50,0,30.77,-56,11,100.0,95
7,50,1,30.11,-55,12,100.0,95
7,50,2,31.93,-53,11,100.0,95
7,50,3,16.93,-66,12,100.0,95
7,50,4,24.33,-73,12,100.0,95
7,50,5,23.7,-75,12,100.0,95
7,50,6,23.17,-67,11,100.0,95
7,50,7,19.31,-69,11,100.0,95
7,50,8,23.39,-66,11,100.0,95
7,50,9,34.96,-68,11,100.0,95
7,50,10,31.32,-67,9,100.0,95
7,50,11,22.4,-71,13,100.0,95
7,50,12,19.04,-72,12,100.0,95
7,50,13,18.2,-74,12,100.0,95
7,50,14,15.41,-68,12,100.0,95
7,50,15,20.46,-76,12,100.0,95
7,50,16,26.33,-89,8,100.0,95
7,50,17,17.12,-76,12,100.0,95
7,50,18,28.37,-73,12,100.0,95
7,50,19,23.38,-75,12,100.0,95
7,50,20,22.71,-70,12,100.0,95
7,50,21,34.17,-70,11,100.0,95
7,50,22,28.11,-88,11,100.0,95
7,50,23,16.6,-86,10,100.0,95
7,50,24,33.19,-79,13,100.0,95
7,50,25,33.59,-73,11,100.0,95
7,50,26,35.99,-74,12,100.0,95
7,50,27,19.14,-70,12,100.0,95
7,50,28,17.67,-70,11,100.0,95
7,50,29,35.4,-84,12,100.0,95
7,100,0,22.58,-87,10,96.7,95
7,100,1,20.91,-82,12,96.7,95
7,100,2,23.03,-90,9,96.7,95
7,100,3,20.57,-79,13,96.7,95
7,100,4,33.92,-79,12,96.7,95
7,100,5,15.54,-83,11,96.7,95
7,100,6,21.28,-81,11,96.7,95
7,100,7,16.73,-80,12,96.7,95
7,100,8,34.37,-85,12,96.7,95
7,100,9,32.18,-90,8,96.7,95
7,100,10,15.0,-86,11,96.7,95
7,100,11,19.07,-78,11,96.7,95
7,100,12,27.68,-87,10,96.7,95
7,100,14,24.81,-85,10,96.7,95
7,100,15,23.29,-86,11,96.7,95
7,100,16,22.06,-83,12,96.7,95
7,100,17,17.44,-78,11,96.7,95
7,100,18,17.28,-91,7,96.7,95
7,100,19,34.11,-88,11,96.7,95
7,100,20,18.48,-83,12,96.7,95
7,100,21,35.11,-88,11,96.7,95
7,100,22,26.6,-83,12,96.7,95
7,100,23,26.68,-88,11,96.7,95
7,100,24,28.95,-84,12,96.7,95
7,100,25,25.74,-91,9,96.7,95
7,100,26,31.41,-89,9,96.7,95
7,100,27,32.8,-88,10,96.7,95
7,100,28,30.19,-94,7,96.7,95
7,100,29,31.3,-85,11,96.7,95
7,300,0,19.7,-100,3,100.0,95
7,300,1,20.77,-92,9,100.0,95
7,300,2,19.26,-93,9,100.0,95
7,300,3,35.66,-95,9,100.0,95
7,300,4,33.21,-94,8,100.0,95
7,300,5,15.75,-100,2,100.0,95
7,300,6,24.77,-94,8,100.0,95
7,300,7,31.09,-94,9,100.0,95
7,300,8,27.39,-92,9,100.0,95
7,300,9,31.42,-94,8,100.0,95
7,300,10,28.64,-91,10,100.0,95
7,300,11,15.77,-94,9,100.0,95
7,300,12,23.04,-96,7,100.0,95
7,300,13,23.43,-95,8,100.0,95
7,300,14,16.27,-94,8,100.0,95
7,300,15,29.74,-95,7,100.0,95
7,300,16,17.05,-94,8,100.0,95
7,300,17,31.51,-95,8,100.0,95
7,300,18,15.15,-96,7,100.0,95
7,300,19,23.24,-95,7,100.0,95
7,300,20,24.75,-94,9,100.0,95
